OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
87,Neighborhood Conservation,2005Z-024U-10,BL2005-615,6/11/2005 5:00:00 AM,Elmington Place,,,b0f4f9b2-f696-47a3-8a07-1a82f233e4a1
88,Institutional Overlay,2018IN-001-001,BL2018-1150,5/18/2018 5:00:00 AM,Belmont University,,,011616cd-84b4-46e4-a602-c7d2c4e7f9d1
89,Neighborhood Landmark,2005NL-186G-10,BL2005-905,1/21/2006 6:00:00 AM,,,,4f698902-d84a-4d79-bd37-915f0b09af8f
90,Neighborhood Landmark,2006Z-028G-12,BL2006-1024,5/17/2006 5:00:00 AM,Oglesby Community Club,,,1150c4cd-1454-497f-a27f-5bde37f044a5
91,Historic Preservation Landmark,2006Z-033U-05,BL2006-1034,5/17/2006 5:00:00 AM,Woodbine Community Organization,,,51e1dae1-46f3-4b52-b9d2-54ac31a30f4a
92,Urban Design Overlay,2006UD-001U-12,BL2006-1166,9/29/2006 5:00:00 AM,Metro Brentwood Town Center,,,c1c46698-7172-40b4-ab29-e2fc7c72dca2
93,Bed and Breakfast,94Z-090U,O94-1268,1/1/1995 6:00:00 AM,,,,519e57b1-2f67-4fc0-81bc-b27a4b168606
94,Neighborhood Conservation,2004Z-131U-05,BL2004-477,1/22/2005 6:00:00 AM,Lockeland Springs - East End,,,f8031ebf-0455-4993-be85-7806b206c8d0
95,Neighborhood Conservation,96Z-005U,O96-179,3/26/1996 5:00:00 AM,Richland-West End, , ,54f46a0f-4a18-4309-b8d4-e47ba8b4acba
96,Historic Preservation District,2007Z-029U-09,BL2007-1336,3/21/2007 5:00:00 AM,Broadway,,,fbf6873c-cfe7-4c24-a043-3ebbd9cfa1b4
97,Urban Design Overlay,2002UD-001U-10,BL2008-362,1/26/2009 6:00:00 AM,Green Hills,,,445659cd-1c9a-433f-b5d6-691a1dd8b2be
98,Neighborhood Conservation,2007Z-120U-07,BL2007-1529,7/25/2007 5:00:00 AM,Richland-West End Addition,,,9e20823c-3500-4908-b831-b4c2381a3b93
99,Historic Preservation Landmark,2006Z-032U-05,BL2006-1032,5/20/2006 5:00:00 AM,1220 Gallatin Pike,,,3860e9e4-3a72-4181-b97f-d6bec9d1fc90
100,Historic Preservation District,2007Z-167U-08,BL2007-19,6/2/2008 5:00:00 AM,Germantown,,,5d146c77-401f-4008-9107-7d27355ea5e0
101,Neighborhood Conservation,2008Z-043U-05,BL2008-181,6/2/2008 5:00:00 AM,Maxwell Heights,,,5e056e59-6c45-4619-95bd-b56dfc73c68d
102,Neighborhood Conservation,2008Z-044U-05,BL2008-191,6/2/2008 5:00:00 AM,Greenwood,,,1d2befa1-6010-470f-b96c-24ba392ff602
103,Urban Design Overlay,2008UD-001U-05,BL2008-185,7/25/2008 5:00:00 AM,Dickerson Pike Sign,,,56897331-d475-4fd6-9446-efff8cece9dd
104,Historic Preservation Landmark,2008Z-063G-14,BL2008-273,9/22/2008 5:00:00 AM,Hermitage,,,a9e770f3-85e8-4307-9f71-ac972fc2fb6b
